Metabolite_e1e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Putrescine	1.133316988	0.6414043742	#DIV/0!	0.4210895994	0.9268619617	0.8314169541	1.3481379753	0.4888112103	#DIV/0!	0.1266922066	0.9716508108	1.1970927852	0.6749971463	0.6613511758	0	0.2993346669	1.605853248	0	0.5258481103	0.470137216	0.5345024627	0.5181122904	0.3815414832	0.2928845111
Pyrrole-2-carboxylic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.3891168693	0.6711957649	0	0	0.8830133519	0	0.2277045736	0.2899272879	0.4938913397	0.7663122381	0.8563869375	0.640131287
Spermidine	0.5287304572	0.9872029316	#DIV/0!	0.9635566569	0.854992486	1.2060373993	4.9313355405	0.3165581091	#DIV/0!	0.0825413078	0.9282790843	0.0655274926	0.5498728045	0.3377243681	0	0.0673022263	3.0210233995	0	0.4496042548	0.1725023866	1.505559584	0.2093505428	0.1879587721	0.1255480321
Tyramine	0	1.0144318699	#DIV/0!	1.3965862744	1.8834312499	1.53150313	1.5494768212	0.458678099	#DIV/0!	#DIV/0!	2.1766307189	0.5189637616	0.6575007207	0.7018023634	0	0.1085671019	0.7981091514	0	1.4547832716	0.0718615337	0.4018972107	0.0765479177	0.0863402798	0.1378334277
Uracil	0	0	#DIV/0!	0	0	0	1.2944820236	0.6264951785	#DIV/0!	0	#DIV/0!	1.4837704544	0.7487582462	0.3459246506	0	0.529409868	0.5189009396	0	0.4926047114	0.9478375617	0.144236965	0.178822988	0.2855056789	0.2927354004
Uric acid	0.8796295136	0.9062949034	#DIV/0!	1.0615027096	0.5865813525	0.7708326261	1.5513797168	0.7511230904	#DIV/0!	0.3480498862	1.4253190725	1.1907110798	0.7778484001	0.7956616739	0	1.5710577316	1.1130697359	0	1.0623575909	1.0074439799	0.8620605806	2.2948825817	0.8653224426	1.2534173439
Sinapic acid, cis-	0.5814405397	1.0786868277	#DIV/0!	1.1239402041	0.677252647	0.9335004895	2.4366901388	0.7130745225	#DIV/0!	0.2760109519	1.2662359275	1.0953372735	1.3041562832	1.08060422	0	0.6411248638	0.7171276624	0	0.67909402	0.8216041974	0.4502864798	0.5451005327	0.3844865101	0.3918386263
Fructose-6-phosphate	0.3551607484	0.5392915014	#DIV/0!	0.7538331334	0.6043608054	0.3889488101	1.6606068577	0.8463794492	#DIV/0!	0.3172000897	0.4836115599	0.6046435664	0.4778119447	0.4584379764	0	0.7399427526	0.6132824836	0	0.4725241292	0.2752351051	0.3941123775	1.4098180004	0.3207748424	0.5037722643
Glucose-6-phosphate	0.4708523118	0.5521204136	#DIV/0!	0.5971689566	0.6704978108	0.6322191243	1.4552602058	1.117504941	#DIV/0!	0.2075149288	0.6130011681	0.5633404006	0.4555965392	0.3717272819	0	0.4777269959	0.7439623357	0	0.3866810398	0.2161913615	0.3513197798	0.4439524236	0.2545270978	0.4121324171
Glyceric acid-3-phosphate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glycerol-3-phosphate	0.3550236262	0.4726952377	#DIV/0!	0.4754453312	0.3527373674	0.6665325833	1.1016874897	0.7430128734	#DIV/0!	0.2966131548	1.6901612238	0.7029239414	0.4202121558	0.6744515347	0	0.7994487782	0.7941636547	0	0.677734909	0.2811786873	0.4082531468	0.4713314942	0.364011827	0.7412044318
Glycerophosphoglycerol	0.2942628513	0.5682328511	#DIV/0!	0.4281992803	0.3959204412	0.3305198589	1.5661320852	0.4550739856	#DIV/0!	0.2026661008	0.808635957	0.7022937919	0.4756760216	0.5215840394	0	0.337122036	0.883527482	0	0.6273720447	0.2074421353	0.5039154008	0.5658922496	0.6281349489	0.5530666211
